,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
141,PRIM,Primoris Services Corporation,,58.99 +3.56 (+6.41%),3.56,+6.41%,56605,1.007M,3.181B,17.82,+23.17%,
142,WCC,"WESCO International, Inc.",,159.74 +9.98 (+6.66%),9.98,+6.66%,209733,852162,7.795B,12.25,-6.16%,
143,BHVN,Biohaven Ltd.,,22.55 +1.40 (+6.59%),1.4,+6.59%,171312,1.216M,2.301B,--,-45.38%,
144,TPG,TPG Inc.,,46.26 +2.98 (+6.87%),2.98,+6.87%,139790,1.668M,17.09B,--,-1.16%,
145,VFC,V.F. Corporation,,11.68 +0.77 (+7.01%),0.77,+7.01%,2.481M,9.897M,4.548B,--,-16.01%,
146,CG,The Carlyle Group Inc.,,38.10 +2.41 (+6.74%),2.41,+6.74%,2.436M,3.394M,13.748B,13.75,-22.61%,
147,JBL,Jabil Inc.,,141.70 +8.46 (+6.35%),8.46,+6.35%,254968,1.486M,15.211B,31.91,+10.81%,
148,WAL,Western Alliance Bancorporation,,69.59 +4.25 (+6.50%),4.25,+6.50%,381934,1.33M,7.686B,9.56,+10.06%,
149,FUTU,Futu Holdings Limited,,91.00 +5.66 (+6.63%),5.66,+6.63%,1.306M,3.197M,12.67B,18.16,+33.39%,
150,INTA,"Intapp, Inc.",,53.24 +3.35 (+6.71%),3.35,+6.71%,41986,659724,4.227B,--,+58.83%,
151,TAL,TAL Education Group,,11.39 +0.64 (+5.95%),0.64,+5.95%,4.425M,7.868M,6.883B,59.95,-12.32%,
152,MTZ,"MasTec, Inc.",,121.29 +7.04 (+6.16%),7.04,+6.16%,83854,1.281M,9.589B,58.88,+34.13%,
153,PTON,"Peloton Interactive, Inc.",,6.12 +0.37 (+6.43%),0.37,+6.43%,2.4M,15.235M,2.387B,--,+87.91%,
154,BE,Bloom Energy Corporation,,17.94 +1.06 (+6.28%),1.06,+6.28%,2.003M,6.954M,4.135B,--,+75.10%,
155,PSTG,"Pure Storage, Inc.",,42.94 +2.58 (+6.39%),2.58,+6.39%,475912,3.05M,13.999B,138.52,-20.32%,
156,ALGM,"Allegro MicroSystems, Inc.",,17.90 +1.13 (+6.74%),1.13,+6.74%,576704,3.685M,3.296B,--,-41.71%,
157,NTNX,"Nutanix, Inc.",,63.70 +3.92 (+6.56%),3.92,+6.56%,516971,2.62M,16.986B,--,-1.82%,
158,TECH,Bio-Techne Corporation,,52.37 +3.29 (+6.70%),3.29,+6.70%,311161,1.963M,8.279B,53.44,-22.73%,
159,APGE,"Apogee Therapeutics, Inc.",,37.97 +2.47 (+6.97%),2.47,+6.97%,52555,693327,2.206B,--,-23.72%,
160,TEAM,Atlassian Corporation,,213.35 +13.05 (+6.52%),13.05,+6.52%,278333,2.46M,55.898B,--,+0.65%,
161,YUMC,"Yum China Holdings, Inc.",,47.79 +3.01 (+6.72%),3.01,+6.72%,972711,3.248M,17.871B,20.51,+15.41%,
162,ALK,"Alaska Air Group, Inc.",,47.84 +2.90 (+6.45%),2.9,+6.45%,643249,3.446M,5.872B,15.53,+1.61%,
163,UAL,"United Airlines Holdings, Inc.",,71.31 +4.33 (+6.47%),4.33,+6.47%,3.025M,9.363M,23.288B,6.49,+27.15%,
164,GLOB,Globant S.A.,,111.61 +6.68 (+6.35%),6.68,+6.35%,110556,961711,4.917B,29.92,-42.76%,
165,ST,Sensata Technologies Holding plc,,20.83 +1.25 (+6.38%),1.25,+6.38%,140500,2.088M,3.115B,24.50,-43.11%,
166,ALIT,"Alight, Inc.",,5.18 +0.32 (+6.58%),0.32,+6.58%,1.271M,8.703M,2.862B,--,-46.94%,
167,TEX,Terex Corporation,,36.17 +2.15 (+6.32%),2.15,+6.32%,62366,1.115M,2.397B,7.29,-43.90%,
168,NVT,nVent Electric plc,,53.54 +3.29 (+6.55%),3.29,+6.55%,458438,2.586M,8.815B,37.44,-31.84%,
169,MPWR,"Monolithic Power Systems, Inc.",,544.44 +32.62 (+6.37%),32.62,+6.37%,156971,1.048M,26.06B,14.88,-20.30%,
170,GKOS,Glaukos Corporation,,95.43 +5.70 (+6.35%),5.7,+6.35%,109038,958606,5.447B,--,-11.10%,
171,DKS,"DICK'S Sporting Goods, Inc.",,192.57 +11.76 (+6.51%),11.76,+6.51%,302249,1.451M,15.378B,13.71,-12.01%,
172,NPO,Enpro Inc.,,150.30 +9.15 (+6.49%),9.15,+6.49%,21982,135131,3.163B,43.69,-6.54%,
173,IRTC,"iRhythm Technologies, Inc.",,105.37 +5.89 (+5.92%),5.89,+5.92%,39380,422136,3.363B,--,-14.56%,
174,SNOW,Snowflake Inc.,,149.02 +8.79 (+6.27%),8.79,+6.27%,1.34M,5.846M,49.789B,--,-9.52%,
175,SYM,Symbotic Inc.,,21.56 +1.28 (+6.31%),1.28,+6.31%,280053,1.676M,12.686B,--,-49.84%,
176,ASO,"Academy Sports and Outdoors, Inc.",,39.22 +2.34 (+6.36%),2.34,+6.36%,306790,1.829M,2.61B,6.85,-37.56%,
177,SATS,EchoStar Corporation,,22.56 +1.25 (+5.86%),1.25,+5.86%,225628,2.376M,6.465B,--,+34.19%,
178,PK,Park Hotels & Resorts Inc.,,10.42 +0.64 (+6.54%),0.64,+6.54%,976845,4.526M,2.103B,10.32,-41.75%,
179,S,"SentinelOne, Inc.",,17.41 +1.05 (+6.43%),1.05,+6.43%,924024,5.353M,5.74B,--,-24.15%,
180,FND,"Floor & Decor Holdings, Inc.",,72.73 +4.43 (+6.49%),4.43,+6.49%,701893,2.231M,7.826B,38.28,-37.72%,
181,NBIS,Nebius Group N.V.,,23.20 +1.34 (+6.13%),1.34,+6.13%,2.893M,14.024M,5.469B,--,+9.30%,
182,DAL,"Delta Air Lines, Inc.",,42.81 +2.47 (+6.11%),2.47,+6.11%,3.319M,11.832M,27.95B,7.59,-15.85%,
183,CPAY,"Corpay, Inc.",,325.87 +18.10 (+5.88%),18.1,+5.88%,37653,497642,22.892B,23.33,+0.11%,
184,INTC,Intel Corporation,,20.72 +1.20 (+6.18%),1.2,+6.18%,30.34M,112.699M,90.33B,--,-43.45%,
185,CRWD,"CrowdStrike Holdings, Inc.",,390.52 +22.07 (+5.99%),22.07,+5.99%,850792,4.376M,96.801B,--,+23.80%,
186,SIG,Signet Jewelers Limited,,59.68 +3.49 (+6.21%),3.49,+6.21%,308308,1.536M,2.56B,--,-43.01%,
187,ANGI,Angi Inc.,,12.93 +0.78 (+6.47%),0.78,+6.47%,164940,656075,640.28M,18.46,-41.07%,
188,CE,Celanese Corporation,,44.06 +2.50 (+6.02%),2.5,+6.02%,346081,3.86M,4.924B,--,-73.26%,
189,JLL,Jones Lang LaSalle Incorporated,,223.81 +13.15 (+6.24%),13.15,+6.24%,35906,388772,10.634B,19.82,+15.84%,
190,ZBRA,Zebra Technologies Corporation,,241.32 +14.12 (+6.22%),14.12,+6.22%,112420,690663,12.342B,23.71,-18.13%,
191,IBKR,"Interactive Brokers Group, Inc.",,167.09 +9.61 (+6.10%),9.61,+6.10%,542114,2.503M,70.616B,23.02,+36.18%,
192,KSPI,Joint Stock Company Kaspi.kz,,89.71 +4.79 (+5.64%),4.79,+5.64%,55494,345229,17.389B,8.68,-26.92%,
193,H,Hyatt Hotels Corporation,,113.38 +6.21 (+5.80%),6.21,+5.80%,219593,991324,10.819B,8.97,-29.42%,
194,LMND,"Lemonade, Inc.",,28.98 +1.68 (+6.15%),1.68,+6.15%,310350,2.17M,2.11B,--,+56.81%,
195,TWLO,Twilio Inc.,,88.85 +4.97 (+5.93%),4.97,+5.93%,316391,3.352M,13.561B,--,+37.54%,
